Clinton Bank & Trust Company,Sq 3  Liberty  St. Helena & Bank Sts,CLINTON,LA,70722,-37.685944,145.141613,
Bank of Hawaii  Credit Card  National Association,1850 North Central Avenue  Suite 400,PHOENIX,AZ,85004,33.467799,-112.073777,
First Savings Bank  F.S.B.,235 Main Street,THOMSON,GA,30824,33.468376,-82.503677,
Community First National Bank,2020 North Central Avenue,PHOENIX,AZ,85004,33.469717,-112.073778,
First National Bank in Bogata,Main Street,BOGATA,TX,75417,33.46986389,-95.19372559,
First Bank and Trust  Hooks,Main Street,LEARY,TX,75561,33.46989,-94.28925,
Commercial National Bank of Texarkana,5515 Summerhill Road,TEXARKANA,TX,75503,33.471637,-94.069274,http://www.cnbtxk.com
Bowie County State Bank,Main Street,LEARY,TX,75561,33.4728,-94.28929,
Metropolitan State Bank,Main Street,AUGUSTA,GA,30904,33.47373962,-82.01307678,
First Commercial Bank,800 Shades Creek Parkway,HOMEWOOD,AL,35209,33.474102,-86.76705,http://www.firstcommercialbank.com
ServisFirst Bank,3300 Cahaba Road  Suite 300,MOUNTAIN BROOK,AL,35223,33.474559,-86.763557,http://www.servisfirstbank.com
Spur Security Bank,120 West Harris Street,SPUR,TX,79370,33.47659,-100.855787, 
First Capital Bank of Arizona,2700 North Central Avenue  Suite 210,PHOENIX,AZ,85004,33.477702,-112.073776,
Bankers First Savings Bank  FSB,One 10th Street  Suite 700,AUGUSTA,GA,30901,33.478661,-81.968643,
First Federal Savings and Loan Association of Ariz,3003 North Central Ave,PHOENIX,AZ,85012,33.482082,-112.073779,
Merabank  A Federal Savings Bank,3003 North Central Avenue,PHOENIX,AZ,85012,33.482082,-112.073779,
Wachovia Bank of Georgia  National Association,3645 Wheeler Road,FOREST HILLS,GA,30909,33.482415,-82.09065,
Central Bank for Savings,327 Summit Street,WINONA,MS,38967,33.482509,-89.732083,
Merchants & Farmers Bank of Winona,400 Summit Street,WINONA,MS,38967,33.482595,-89.733558,
First Bank and Trust of Mississippi,409 Summit Street,WINONA,MS,38967,33.482625,-89.734175,http://www.fbtmonline.com
Southwest Savings and Loan Association,3101 North Central Avenue,PHOENIX,AZ,85012,33.483971,-112.073779,
Southwest Savings and Loan Association  FA,3101 North Central Avenue,PHOENIX,AZ,85012,33.483971,-112.073779,
Georgia Bank & Trust Company of Augusta,3530 Wheeler Road,FOREST HILLS,GA,30909,33.485206,-82.077873,http://www.georgiabankandtrust.com
Surety Savings and Loan Association,3225 North Central Avenue,PHOENIX,AZ,85012,33.485572,-112.073784,
Century Bank,3225 North Central Avenue,PHOENIX,AZ,85012,33.485572,-112.073784,
First Bank of Georgia,3527 Wheeler Road,FOREST HILLS,GA,30909,33.485661,-82.077184,http://www.firstbankofga.com
Citibank (Arizona),3300 North Central Avenue,PHOENIX,AZ,85012,33.486439,-112.073783,
Bank of Winona,312 North Applegate,WINONA,MS,38967,33.486686,-89.735933,http://www.bankofwinona.com
First Central Bank,3443 North Central Avenue,PHOENIX,AZ,85012,33.487961,-112.073782,
Western Savings and Loan Association,3443 North Central Avenue,PHOENIX,AZ,85012,33.487961,-112.073782,
South Carolina Bank and Trust  National Associatio,950 John C. Calhoun Drive  S.E.,ORANGEBURG,SC,29115,33.488124,-80.860609,
South Carolina Bank and Trust  National Association,950 John C. Calhoun Drive  S.E.,ORANGEBURG,SC,29115,33.488124,-80.860609,http://www.scbandt.com
Valley Bank of Arizona,3550 North Central Avenue,PHOENIX,AZ,85012,33.489101,-112.073784,
Bank of Alabama,2340 Woodcrest Place,HOMEWOOD,AL,35209,33.489734,-86.787322,
CapitalSouth Bank,2340 Woodcrest Place,HOMEWOOD,AL,35209,33.489734,-86.787322,http://www.capitalsouthbank.com
Bank USA  F.S.B.,3636 North Central Avenue  Suite 100,PHOENIX,AZ,85012,33.490219,-112.073784,http://www.bnkusa.com
Firstar Metropolitan Bank & Trust,3800 North Central Avenue,PHOENIX,AZ,85012,33.491242,-112.073788,
Caliber Bank,3800 North Central Avenue,PHOENIX,AZ,85012,33.491242,-112.073788,
Sonoran Bank  N.A.,3877 North 7th Street  Suite 150,PHOENIX,AZ,85014,33.492484,-112.065044,http://www.sonoranbank.com
Southgate National Bank of Richmond County,Main Street,PEACH ORCHARD,GA,30906,33.4926,-81.97478,
Assured Thrift and Loan Association,26802 Avenida Padre,MISSION VIEJO,CA,92675,33.49326,-117.662454,
Chase Bank of Arizona,4000 North Central Avenue,PHOENIX,AZ,85012,33.493835,-112.073791,
UniSouth Banking Corporation,624 Main Street,COLUMBUS,MS,39701,33.49481,-88.430149,
First International Bank & Trust,6840 East Indian School Road,SCOTTSDALE,AZ,85251,33.494827,-111.933428,
First-Columbus National Bank,710 Main Street,COLUMBUS,MS,39701,33.495095,-88.428504,
Security Savings and Loan Association,4110 North Scottsdale Road,SCOTTSDALE,AZ,85251,33.495254,-111.92619,
National Bank of Commerce of Columbus,803 Main Street,COLUMBUS,MS,39701,33.495431,-88.426442,
Universal Savings and Loan Association  A Federal ,4141 North Scottsdale Road,SCOTTSDALE,AZ,85251,33.495775,-111.926044,
Universal Savings and Loan Association,4141 North Socttsdale Road,SCOTTSDALE,AZ,85251,33.495775,-111.926044,
First Federal Bank for Savings,1121 Main Street,COLUMBUS,MS,39701,33.496248,-88.420511,
Citizens National Bank of Columbus,605 Second Avenue North,COLUMBUS,MS,39701,33.496501,-88.42698,
Capistrano National Bank,32001 Del Obispo Street,MISSION VIEJO,CA,92675,33.498707,-117.672624,
American Bank of Commerce,U.S. Highway 82 And Loop 193,WOLFFORTH,TX,79382,33.4993,-102.02634,http://www.theabcbank.com
Alamerica Bank,2170 Highland Avenue,BIRMINGHAM,AL,35205,33.50031,-86.790163,http://www.alamericabank.com
Highland Bank,2211 Highland Avenue South,BIRMINGHAM,AL,35205,33.500832,-86.790214,
DESERT HILLS BANK,3001 East Camelback Road,PHOENIX,AZ,85016,33.50211716,-112.0304871,http://www.deserthillsbank.com
Valley View National Bank,West Frontage Road I-35,VALLEY VIEW,TX,76272,33.50216675,-97.23105621,
Western Security Bank,7401 East Camelback,SCOTTSDALE,AZ,85251,33.502219,-111.920875,http://www.westernsecurity.com
First National Bank of Arizona,7150 East Camelback Road  Suite 285,SCOTTSDALE,AZ,85251,33.502271,-111.927356,
First Bank of Arizona  National Association,7150 East Camelback Road  Suite 285,SCOTTSDALE,AZ,85251,33.502271,-111.927356,
First Federal Savings and Loan Association,500 Bennet Avenue,ORANGEBURG,SC,29115,33.5025444,-80.85928345,
National Bank of Arizona,4725 North Scottsdale Road,SCOTTSDALE,AZ,85251,33.504889,-111.926039,
FirstCity Bank,831 Fairways Court,STOCKBRIDGE,GA,30281,33.505584,-84.220437,http://www.firstcityonline.com
First Bank Howe,100 South Denny Street,HOWE,TX,75459,33.506145,-96.612862,
Southern Horizon Bank,280 Country Club Drive,STOCKBRIDGE,GA,30281,33.506279,-84.223917, 
State Bank of De Kalb,102 S.W. Runnels Street,DE KALB,TX,75559,33.507968,-94.616844,http://www.statebankofdekalb.com
Georgia Bank & Trust Company of Columbia County,4109 Columbia Road,MARTINEZ,GA,30907,33.50817,-82.106575,
UMB Bank Arizona  National Association,2231 East Camelback Road  Suite 211,PHOENIX,AZ,85016,33.509163,-112.0329,http://www.umb.com
Union Savings and Loan Association,1846 East Camelback Road,PHOENIX,AZ,85016,33.509227,-112.042182,
First Commercial Savings and Loan Association,2200 East Camelback Road,PHOENIX,AZ,85016,33.509298,-112.034381,
SOUTHWEST BANK OF PHOENIX,2222 East Camelback Road,PHOENIX,AZ,85016,33.50932,-112.032903,
Northern Trust Bank  National Association,2398 East Camelback Road,PHOENIX,AZ,85016,33.509375,-112.030342,http://www.ntrs.com
Western National Bank,2525 East Camelback Road  Suite 100,PHOENIX,AZ,85016,33.509442,-112.113906,http://www.wnbank.com
Alliance Bank of Arizona,2701 East Camelback Road,PHOENIX,AZ,85016,33.509465,-112.023859,http://www.alliancebankofarizona.com
BNC National Bank,2425 East Camelback Road  Suite 100,PHOENIX,AZ,85016,33.509472,-112.110681,http://www.bncbank.com
Camelback Community Bank,2777 Camelback Road,PHOENIX,AZ,85016,33.509547,-112.022066,http://www.camelbackbank.com
Sunrise Bank of Arizona,4350 East Camelback Road  Suite 100a,PHOENIX,AZ,85018,33.509609,-111.988402,http://www.sunrisebankofarizona.com
Heritage Bank,4222 East Camleback  Suite J200,PHOENIX,AZ,85018,33.509706,-111.990906,
Sun State Savings and Loan Association  FSA,4222 East Camelback Road,PHOENIX,AZ,85018,33.509706,-111.990906,
Heritage Bank  National Association,4222 East Camelback Road  Suite J200,PHOENIX,AZ,85018,33.509706,-111.990906, 
Sun State Savings and Loan Association,4222 East Camelback Road,PHOENIX,AZ,85018,33.509706,-111.990906,
Norwest Bank Arizona  National Association,3300 North Central Avenue,PHOENIX,AZ,85012,33.50974274,-112.0678177,
Johnson Bank Arizona  National Association,3131 East Camelback Road,PHOENIX,AZ,85016,33.509798,-112.0144,
First Arizona Savings  A FSB,3333 E. Camelback Road  Suite 240,PHOENIX,AZ,85018,33.50984,-112.010054,
Camel Bank  Incorporated,3030 East Camelback Road,PHOENIX,AZ,85016,33.5099,-112.016807,
Bank of Arizona  National Association,5050 North 44th Street,PHOENIX,AZ,85018,33.510662,-111.986774,http://www.bankofariz.com
Valley Commerce Bank,5050 North 44th Street,PHOENIX,AZ,85018,33.510662,-111.986774,
American Bank & Trust,100 Russell Street  N.W.,ORANGEBURG,SC,29115,33.510889,-80.808286,
Sentinel Federal Savings and Loan Association,5055 North 32nd Street,PHOENIX,AZ,85018,33.511248,-112.01304,
Sentinel Savings and Loan Association,5055 North 32nd Street,PHOENIX,AZ,85018,33.51173,-112.012994,
The Biltmore Bank of Arizona,5055 North 32nd Street,PHOENIX,AZ,85018,33.51173,-112.012994,http://www.biltmorebankaz.com
Compass Bank,15 South 20th Street,BIRMINGHAM,AL,35233,33.512342,-86.804161,http://www.compassbank.com
Eagle National Bank,850 Eagle's Landing Parkway,STOCKBRIDGE,GA,30281,33.512547,-84.21764,
Superior Bank,17 North 20th Street,BIRMINGHAM,AL,35203,33.513433,-86.804979,http://www.superiorbank.com
Georgia State Bank,3734-38 Washington Road,MARTINEZ,GA,30907,33.513941,-82.109103,
First American Bank,1927 First Avenue North,BIRMINGHAM,AL,35203,33.513985,-86.806655,http://www.first-american.com
National Bank of Commerce of Birmingham,1927 First Avenue North,BIRMINGHAM,AL,35203,33.513985,-86.806655,
Citizens Federal Savings Bank,1700 Third Avenue North,BIRMINGHAM,AL,35203,33.51432,-86.811075,
State Bank & Trust Company,916 Highway 82 Bypass,GREENWOOD,MS,38930,33.514588,-90.203611,http://www.statebank1898.com
Guaranty Federal Savings and Loan Association,2030 First Avenue  North,BIRMINGHAM,AL,35203,33.51468,-86.805178,
First Federal Savings and Loan Association of Alab,2030 First Ave North,BIRMINGHAM,AL,35203,33.51468,-86.805178,
Home Federal Savings and Loan Association,213 North 20th Street,BIRMINGHAM,AL,35203,33.515578,-86.806382,
City Federal Savings and Loan Association,2030 Second Avenue North,BIRMINGHAM,AL,35203,33.515616,-86.805813,
Steiner Bank,1920 Third Avenue  North,BIRMINGHAM,AL,35203,33.515852,-86.807845,
Jefferson Federal Savings and Loan Association of ,215 North 21st Street,BIRMINGHAM,AL,35203,33.516232,-86.80504,
Jefferson Federal Savings and Loan Association  F.,215 North 21st Street,BIRMINGHAM,AL,35203,33.516232,-86.80504,
First Commerce National Bank,5336 North 19th Avenue,PHOENIX,AZ,85015,33.516437,-112.0998,
Citizens Bank of Newton County,Kellogg And Pine Streets,MANSFIELD,GA,30255,33.51664,-83.7347,
Regions Bank,417 North Twentieth Street,BIRMINGHAM,AL,35203,33.517419,-86.807629,http://www.regions.com
AmSouth Bank,1900 Fifth Avenue  North,BIRMINGHAM,AL,35203,33.517496,-86.809438,http://www.amsouth.com
First National Bank of Whitewright,Main Street,WHITEWRIGHT,TX,75491,33.51903915,-96.45102692,
Mission Oaks National Bank,41530 Enterprise Circle South  Suite 100,TEMECULA,CA,92590,33.519248,-117.16571,http://www.missionoaksbank.com/
Bank of Commerce,310 Howard Street,GREENWOOD,MS,38930,33.519402,-90.182338,http://www.bankcom.com
Peoples Bank,5820 82nd Street,LUBBOCK,TX,79424,33.519745,-101.940581,http://www.peoplesbanktexas.com
Greenwood Federal Savings and Loan Association,111 East Washington Street,GREENWOOD,MS,38930,33.519789,-90.181035,
First Federal Savings and Loan Association,111 E Washington St,GREENWOOD,MS,38930,33.519789,-90.181035,
First Greenwood Bank,211 River Road,GREENWOOD,MS,38930,33.520038,-90.212776,
Leflore Bank & Trust Company,122 Howard Street,GREENWOOD,MS,38930,33.521164,-90.182896,
Saguaro Savings and Loan Association,5755 North 19th Avenue,PHOENIX,AZ,85015,33.521363,-112.099753,
Heritage Bank,101 North Main St,JONESBORO,GA,30236,33.521517,-84.354458,http://www.heritagebank.com
Butterfield Savings and Loan Association  A Federa,200 East Sandpointe Avenue,TEMECULA,CA,92591,33.52168655,-117.1285706,
Security Federal Bank,1705 Wiskey Road South,AIKEN,SC,29801,33.522655,-81.719083,http://www.securityfederalbank.com
Trust Company Bank of Clayton County,139 North Main Street,JONESBORO,GA,30236,33.522785,-84.354422,
First Bank & Trust Company,7806 Indiana Avenue,LUBBOCK,TX,79423,33.523289,-101.887716,http://www.firstbanklubbock.com
Capital Savings and Loan Association,6120 North 16th Street,PHOENIX,AZ,85016,33.525854,-112.047483,
Western Savings and Loan Association  FA,6001 North 24th Street,PHOENIX,AZ,85016,33.525922,-112.028132,
Maben Home Bank,Main Street,MABEN,MS,39750,33.52618027,-89.06588745,
SunTrust Bank  Augusta  National Association,4212 Washington Road,EVANS,GA,30809,33.526665,-82.121295,
Monarch Bank,30000 Town Center Drive,LAGUNA NIGUEL,CA,92677,33.527242,-117.713096,
Covenant Bank,636 Parkway Drive  Southeast,LEEDS,AL,35094,33.52833176,-86.57482147,
Covenant Bank,7924 Parkway Drive,LEEDS,AL,35094,33.52833176,-86.57482147,http://www.covenantbank.com
First National Bank of Deport,111 Main Street,DEPORT,TX,75435,33.528546,-95.315427,
Le Flore Savings and Loan Association,606 West Park Ave,GREENWOOD,MS,38930,33.528894,-90.19908,
Santee Cooper State Bank,Main Street,ELLOREE,SC,29047,33.52934,-80.57079,
The Harris Bank National Association,6720 North Scottsdale Road,PARADISE VALLEY,AZ,85253,33.534338,-111.9258,http://www.harrisbank.com
Harris Trust Bank of Arizona,6720 North Scottsdale Road,PARADISE VALLEY,AZ,85253,33.534338,-111.9258,
Liberty State Bank,6500 Indiana Avenue,LUBBOCK,TX,79413,33.535177,-101.887731,
Southern Bank & Trust,1001 Pine Log Road,AIKEN,SC,29803,33.535256,-81.692241, 
New South Federal Savings Bank,2000 Crestwood Blvd,IRONDALE,AL,35210,33.53564,-86.697783,http://www.newsouthfederal.com
Trust Company Bank of Carroll County,102 West College Street,BOWDON,GA,30108,33.53824,-85.253407,
Merchants & Farmers Bank,Main Street,MILLPORT,AL,35576,33.54013062,-88.20000458,
Citizens Bank of Leeds,2600 Second Avenue,LEEDS,AL,35094,33.541119,-86.541715,
Citizens Bank & Trust,4385 Washington Road,EVANS,GA,30809,33.541636,-82.134811,
Laguna Bank  National Association,401 Glenneyre Street,LAGUNA NIGUEL,CA,92651,33.54292679,-117.7723465,
The First Bank  Roxton  Texas,Harrison Street,ROXTON,TX,75477,33.54293442,-95.74160767, 
First Bank  Roxton  Texas,Harrison Street,ROXTON,TX,75477,33.54293442,-95.74160767,
The First State Bank,4806 North Henry Boulevard,STOCKBRIDGE,GA,30281,33.54436,-84.236758,http://www.firststateonline.com
First State Bank,4806 North Henry Boulevard,STOCKBRIDGE,GA,30281,33.544408,-84.236769,
Lubbock National Bank,4811 50th Street,LUBBOCK,TX,79413,33.54659653,-101.8871384,http://www.lubbocknational.com
Briercroft Savings and Loan Association,5002 Avenue Q,LUBBOCK,TX,79412,33.548598,-101.855224,
West Texas Savings Association,3400 50th Street,LUBBOCK,TX,79413,33.548849,-101.887863,
Valley First Community Bank,7501 East Mccormick Parkway,SCOTTSDALE,AZ,85258,33.550694,-111.919816,http://www.valleyfirstbank.com
First National Bank of Henry County,5490 North Henry Boulevard,STOCKBRIDGE,GA,30281,33.550817,-84.256162,
Bank of the South,567 Valley Hill Road,RIVERDALE,GA,30274,33.552135,-84.37279,
Legend Bank  N.A.,101 West Tarrant,BOWIE,TX,76230,33.55679703,-97.83733368,http://www.legen-bank.com
Peoples Bank,Main Street,CRAWFORDVILLE,GA,30631,33.55798,-82.80319,
Collinsville State Bank,Main And Woodall Streets,COLLINSVILLE,TX,76233,33.5580101,-96.90136719,
People's Community Bank of South Carolina,125 Park Avenue  S.W.,AIKEN,SC,29801,33.558347,-81.720013,
Sunbank  N.A.,4367 Riverwood Drive,MURRELLS INLET,SC,29576,33.558954,-79.043061,
Aiken County National Bank,142 Chesterfield Street  S.E.,AIKEN,SC,29801,33.55972,-81.719542,
Community Capital Bank,2236 Mount Zion Road,JONESBORO,GA,30236,33.560088,-84.319008,http://www.ccbank.us
Farmers & Merchants Bank,167 Laurens Street  S.W.,AIKEN,SC,29801,33.560127,-81.723266,
Bowie National Bank,200 West Walnut Street,BOWIE,TX,76230,33.560701,-97.849147,
Palmetto Federal Savings Bank of South Carolina,107 Chesterfield St South,AIKEN,SC,29801,33.560972,-81.719291,
First Savings and Loan Association,504 North Mason,BOWIE,TX,76230,33.561778,-97.846765,
City Bank,5211 Brownfield Road,LUBBOCK,TX,79407,33.563679,-101.922891,http://www.citybankonline.com
Mission Viejo National Bank,26300 La Alameda Street  Suite 100,MISSION VIEJO,CA,92691,33.565286,-117.666175,
1st Community Bank,65 Washington Street,FAIRBURN,GA,30213,33.566431,-84.583785,
Founders Bank of Arizona,7335 East Doubletree Ranch Road,SCOTTSDALE,AZ,85258,33.567182,-111.923119,
Cornerstone Bank  FSB,27405 Puerta Real  Suite 100,MISSION VIEJO,CA,92691,33.567908,-117.670226,
McIntosh Commercial Bank,820 Dixie Street,CARROLLTON,GA,30117,33.568506,-85.072547,http://www.mcintoshcommercialbank.com
Southern Crescent Bank,4650 Jonesboro Road,UNION CITY,GA,30291,33.568643,-84.539509,
Community Bank of Carrollton,777 South Park Street,CARROLLTON,GA,30117,33.569047,-85.078184,
Grand Canyon State Bank,9449 North 90th Street,SCOTTSDALE,AZ,85260,33.569555,-111.887312,
Newton Federal Savings and Loan Association,3175 Highway 278,STARRSVILLE,GA,30209,33.57032776,-83.8907547,
Bank of Greeleyville,73 Main Street,GREELEYVILLE,SC,29056,33.571863,-79.98868,http://www.bog1.com
Clayton National Bank,1585 Southlake Parkway,MORROW,GA,30260,33.572943,-84.352763,
Bank of Morgan County,1460 Eatonton Road,MADISON,GA,30650,33.573623,-83.477175,
The Farmers Bank,202-A South Main Street,GREENSBORO,GA,30642,33.57464,-83.182716,http://www.farmbk.com
Fannin Bank,230 East 3rd Street,BONHAM,TX,75418,33.57597,-96.177655,http://www.fanninbank.com
First National Bank of Bonham,West Sam Rayburn Drive,BONHAM,TX,75418,33.57725,-96.18736,
Citizens Union Bank,200 North East Street,GREENSBORO,GA,30642,33.57737,-83.180927,
